id;slope;cd_water;aspect;hill90;hill5;hill45;clc00;numpoints;target
1;4.9801;0.256047;9;254;0;195;312;0;0
2;3.3681;0.296268;2;254;0;187;312;0;0
3;3.86523;0.374666;2;254;0;186;312;0;0
4;5.56061;0.471633;2;253;0;191;312;0;0
5;9.5032;0.589352;10;251;0;204;312;0;0
6;13.163;0.825324;10;248;74;213;312;0;0
7;14.3603;1.14035;10;247;72;210;312;0;0
8;14.987;1.21515;2;246;67;207;312;1;1
9;8.27843;0.223761;10;252;0;198;312;0;0
10;7.31287;0.231716;9;252;0;200;312;0;0
11;8.14211;0.305981;8;252;55;201;312;0;0
12;1.70717;0.341621;6;254;17;177;312;0;0
13;7.87907;0.423261;6;252;0;155;312;0;0
14;9.84775;0.522286;6;251;0;155;312;0;0
15;9.21377;0.589007;6;251;0;161;312;0;0
16;9.74602;0.719804;7;251;15;173;312;0;0
17;9.5324;0.910361;7;251;17;174;324;0;0
18;8.12843;1.11455;6;252;6;167;324;0;0
19;7.48738;1.28607;6;252;0;162;324;0;0
20;8.673;0.273668;9;252;0;205;312;0;0
21;8.57103;0.311299;9;252;0;204;312;0;0
22;7.37001;0.363337;10;252;0;199;312;0;0
23;5.8721;0.377605;2;253;0;192;312;0;0
24;4.44935;0.358153;10;254;0;191;312;0;0
25;4.32195;0.409111;8;254;39;192;312;0;0
26;8.27973;0.467688;5;252;0;153;312;0;0
27;15.0962;0.734306;5;246;0;127;312;0;0
28;15.8729;0.62827;6;245;0;138;312;0;0
29;16.9343;0.711631;6;243;0;139;312;0;0
30;19.9986;0.922561;6;239;0;135;312;1;1
31;23.3989;1.22498;6;234;0;123;324;1;1
32;25.429;1.38405;6;230;0;112;324;0;0
33;25.9845;1.43824;6;229;0;107;324;0;0
34;2.93905;0;5;254;0;170;324;0;0
35;0.507134;0;5;254;0;178;312;0;0
36;0.472647;0;7;254;0;179;312;0;0
37;2.89209;0;7;254;22;180;312;0;0
38;6.70307;0;7;253;27;182;312;0;0
39;10.3888;0;7;250;27;181;312;0;0
40;11.6389;0.285918;7;249;13;171;312;0;0
41;12.7048;0.259194;7;248;7;165;322;0;0
42;12.375;0.226273;6;249;0;161;322;0;0
43;11.3246;0.186393;6;249;0;155;322;0;0
44;3.60837;0.075271;8;254;35;189;312;0;0
45;5.5643;0.174899;8;253;42;193;312;0;0
46;6.88747;0.298449;8;253;48;197;312;2;1
47;4.76615;0.381611;8;254;40;192;312;0;0
48;3.13892;0.447672;8;254;27;183;312;0;0
49;3.86737;0.486248;6;254;10;171;312;0;0
50;5.46437;0.495576;6;253;0;165;312;0;0
51;5.53361;0.463479;6;253;0;167;312;0;0
52;7.10966;0.531821;6;253;1;164;312;0;0
53;14.1256;0.743996;5;247;0;131;312;0;0
54;14.8192;0.512007;5;246;0;128;312;0;0
55;8.64128;0.26231;6;252;0;157;312;0;0
56;9.42779;0.298823;6;251;0;158;312;0;0
57;10.9006;0.372329;6;250;0;155;324;0;0
58;13.018;0.483816;6;248;0;149;324;0;0
59;14.3783;0.511161;6;247;0;144;324;0;0
60;14.7229;0.528044;6;246;0;143;324;0;0
61;1.17324;0;8;254;0;182;324;0;0
62;4.12704;0;9;254;0;192;312;0;0
63;4.54609;0.0801741;2;254;0;185;312;0;0
64;1.35547;0.0702538;3;254;0;178;312;0;0
65;4.6412;0.120065;7;254;17;176;312;0;0
66;9.1406;0.236746;7;251;13;171;312;0;0
67;10.9604;0.289192;7;250;0;167;312;0;0
68;11.757;0.22169;7;249;0;166;312;0;0
69;11.5044;0.21272;7;249;0;163;312;0;0
70;10.2712;0.18899;6;250;0;161;312;0;0
